     gpa greq grev mat ar  new
"1"  3.2 625  540  65  2.7 1230.31278347688
"2"  4.1 575  680  75  4.5 1330.24181715468
"3"  3   520  480  65  2.5 1064.64356046564
"4"  2.6 545  520  55  3.1 1120.40450914815
"5"  3.7 520  490  75  3.6 1084.76545236157
"6"  4   655  535  65  4.3 1254.92779827315
"7"  4.3 630  720  75  4.6 1424.68978838249
"8"  2.7 500  500  75  3.0 1075.75174736970
"9"  3.6 605  575  65  4.7 1245.14810183636
"10" 4.1 555  690  75  3.4 1318.47835993814
"11" 2.7 505  545  55  3.7 1105.09631194479
"12" 2.9 540  515  55  2.6 1110.73286072445
"13" 2.5 520  520  55  3.1 1095.06676639403
"14" 3   585  710  65  2.7 1359.40419663830
"15" 3.3 600  610  85  5.0 1294.53613878444
"16" 3.2 625  540  65  2.7 1230.21555535645
"17" 4.1 575  680  75  4.5 1329.45285436369
"18" 3   520  480  65  2.5 1064.09797020112
"19" 2.6 545  520  55  3.1 1119.99437624219
"20" 3.7 520  490  75  3.6 1084.83378131027
"21" 4   655  535  65  4.3 1254.79772542785
"22" 4.3 630  720  75  4.6 1424.86986535803
"23" 2.7 500  500  75  3.0 1074.65918044513
"24" 3.6 605  575  65  4.7 1244.62210631307
"25" 4.1 555  690  75  3.4 1320.11505294768
"26" 2.7 505  545  55  3.7 1105.55115978604
"27" 2.9 540  515  55  2.6 1110.54090308131
"28" 2.5 520  520  55  3.1 1095.13208531904
"29" 3   585  710  65  2.7 1360.48149295475
"30" 3.3 600  610  85  5.0 1294.80566285014
