 y 		 x1  x2  x3  x4  x5  x6 
 9.23	468 123 246 374 386 -11
 8.01	458 112 236 368 383 -15 
10.95 	457 118 240 359 353 -16 
11.67	450 115 236 352 340 -15 
10.41	464 119 243	366 371 -16
 9.51 	499 147 273 404 433   5
 8.67	463 119 242 370 377 -12
 7.75	462 115 238 370 353 -13
 8.05	488 134 258 393 377  -5
11.39	483 141 264 384 398  -2
 9.95	463 120 243 367 378 -13
 8.25	456 111 233 365 365 -15
10.57	512 161 288 415 443	 12
10.23	518 167 293 421 450	 19
11.87	552 197 324 448 467  32
 8.09	497 146 271	407 451  11
12.55	592 229 360 484 524  51
 8.38	501 150 274 406 407  11
 9.64	483 137 260 385 374  -3
11.35	491 147 269 389 391   1
 9.7	463 121 242 366 353 -13
10.75	507 159 285 410 445  13
10.75	474 132 255 376 383  -7
11.47	496 152 276 396 404   6 
