 y  	x1 	x2 	x3 	x4 	x5 	x6 
 8.66 	486 144 266 393 373  26 
 7.9 	485 136 260 393 395   6 
 9.27 	482 136 260 388 423  -2 
11.77 	443 112 232 346 355 -18 
 9.7 	478 134 257 382 390  -5 
10.46 	449 113 233 351 343 -18 
10.17 	461 121 243 366 378 -14 
11.1 	503 155 280 403 414   6 
12.03 	493 146 271 390 378  -3 
 9.43 	368  40 158 275 250 -63 
 8.66 	462 114 237 367 331 -19 
14.44 	438 109 229 333 326 -28 
 8.5 	478 127 252 384 378 -11 
10.41 	405	 73 193 311 305 -44
 9.72 	498 146 273 403 415   0 
11.69	442 106 226 341 303 -28 
12.19 	457 118 240 354 327 -23 
11.59	439 103 224 339 325 -29
 8.76	500 146 272 404	398   5 
 8.6 	427  85 207 334 319 -36
 8.54 	479 128 253 384 382 -10 
 9.34	444 102 224 350 333 -27
10.09	458 118 239 362 355 -16
 8.72 	518 162 290 426 464  16
10.87	465 124 247 369 386 -13
10.89 	457 120 242 363 411 -15
